,time,content,search_key
75,2021-02-04T14:41:23.000Z,"EBA provides important basis for further incorporation of  #ESG  risks in regulation and supervision of credit institutions, but further alignment, clarification and guidance of definitions is needed. Full  #NVB  response to  :    #sustainablefinance #EBA  Discussion Paper provides a comprehensive proposal on how  #ESG  factors & ESG risks could be included in governance,  #RiskManagement  & supervision of credit institutions & investment firms    ","""sustainablefinance""AND""definition"""
76,2020-12-04T14:35:07.000Z,"What are  #GreenBonds ? This podcast with Remco Bleijs, Head of Sustainable Finance in the Netherlands, takes you from definition to issuance in 15 minutes. Listen now  #ESG   #SustainableFinance","""sustainablefinance""AND""definition"""
77,2020-11-30T14:56:12.000Z,"Sie werden niemals erraten, was diesen Rucksack so beliebt macht
""Super komfortabel, passt zu allem und ist super angenehm zu tragen auch nach 6 Stunden oder  zehn. Es  passt richtig viel rein.Ich liebe diesen Rucksack und empfehle Ihn wärmstens weiter:D""","""sustainablefinance""AND""definition"""
78,2020-11-23T09:44:40.000Z,"Aldo Romani makes the point of the lack of common definitions in the  #greenfinance  and more broadly  #sustainablefinance  space: that's one of the reasons why Eu Comm started the  #sustainablefinanceEU  Action plan, he says  #SettimanaSRI   #greenbonds   #sustainablefinance","""sustainablefinance""AND""definition"""
79,2020-11-19T16:51:42.000Z,Die   nimmt das Thema  #Nachhaltigkeit  in ihre Strategie auf. Das fordert auch unsere Aufsichtsbeschwerde. Nun müssen konkrete Massnahmen und die Definition von Zielen folgen. Nur so wird der  #Finanzplatz  klimaverträglich. #SustainableFinance   #FINMA : Strategische Ziele 2021 bis 2024  http://ow.ly/3y2Y50CnV8G,"""sustainablefinance""AND""definition"""
80,2020-11-12T11:06:09.000Z,"Towards green and  #sustainablefinance : ""We need common metrics, common taxonomy, common definitions. We need interoperability, consistency and transparency for our common framework.""  President and CEO of the   #FinanceinCommon2020","""sustainablefinance""AND""definition"""
81,2020-11-19T16:51:42.000Z,Make clear ice balls free of impurities in the summer look here,"""sustainablefinance""AND""definition"""
82,2020-11-11T10:09:33.000Z,"#ESG  are more often perceived as  #environmental  issues, but they're not only about the environment,  #socialissues  are important as well, says  , adding that we need more clarity and common definitions in the  #sustainablefinance  space  #settimanaSRI   #SMEs   #impinv   #sri","""sustainablefinance""AND""definition"""
83,2020-11-05T07:24:54.000Z,"Is the lack of a clear definition of what sustainable export finance means, slowing down sustainable business transformation in a time that could prove pivotal for the transition to more green lending practices?   #sustainablefinance    #buildbackbetter  ","""sustainablefinance""AND""definition"""
84,2020-10-30T10:15:20.000Z,"#GreenFinance : Commission readies implementation of  #SustainableFinance . The European Commission will detail in the coming weeks what could be considered a ‘green’ activity, a technical definition that would unlock the massive investment needed | Euractiv ","""sustainablefinance""AND""definition"""
